"A","alpha_0","lambda_0","m","mu0","sigma","tau","tc"
0.35923735947547,2.43551796509934,-4.12801425148453,-3.11729952704828,0.272545516707046,0.500949875044977,233.688142982044,2157.68814298204
0.700987116418447,2.96775814838198,-3.14113776879675,-1.88309604903694,0.233746100320342,0.520938422632836,147.865962494863,2071.86596249486
1.00248196727767,3.37946434050409,-2.84812585201729,-1.40074610374195,0.284802589807785,0.497511385421802,123.639842696284,2047.63984269628
0.595380130125411,2.45344192916756,-2.52753534894148,-1.84811477802914,0.212284792788548,0.511235288971596,164.33969979467,2088.33969979467
0.861707827976778,3.06955402847825,-2.73357210757548,-1.55554895557643,0.225538513296475,0.538426146937417,153.621904783756,2077.62190478376
0.669616126848807,3.23897189627308,-3.91677355286261,-2.17532341128034,0.243205478932901,0.504996494178057,170.000015051551,2094.00001505155
0.394406140320571,2.54394330352675,-4.10214679105811,-2.96293346906035,0.262096574157341,0.501582755268979,218.988874561212,2142.98887456121
0.772466116539979,2.94751802014178,-2.81172930858608,-1.64909458563645,0.258767750995389,0.52193312073381,138.331812349557,2062.33181234956
0.78409447419821,3.14143163043513,-3.14649350730013,-1.78055827624008,0.222664379835549,0.521852510285379,159.204066599361,2083.20406659936
0.586206106013615,2.82056292931689,-3.39282342704388,-2.16284809655948,0.242929411028757,0.519999118833299,170.423748950046,2094.42374895005
0.907528049522312,3.38893722896513,-3.16378528132301,-1.62884052393409,0.238284812163756,0.545294290200786,136.226875912465,2060.22687591246
0.811452991750446,3.07463609781088,-2.91248760866884,-1.6600656234581,0.234459462448821,0.510068740943595,153.465622999866,2077.46562299987
0.698732589752706,2.80284058184765,-2.8107731922281,-1.81325733374356,0.192403074081142,0.508979172234935,167.538820332775,2091.53882033277
1.01138163792481,3.07692585454261,-2.34023249961766,-1.27763969139147,0.243510060178045,0.474362707451898,121.84358301945,2045.84358301945
0.664829532389185,2.9474064383201,-3.26670382760816,-2.01094333793885,0.205719952971269,0.516127643754227,180.643808697,2104.643808697
0.698260716566625,3.52693682870649,-4.45366719713614,-2.26372754612508,0.261788171018919,0.531051330502202,180.585790929753,2104.58579092975
0.439751775177871,2.56035810125372,-3.72678063892069,-2.64226279582174,0.268877358437002,0.48416979257532,180.084049474796,2104.0840494748
0.441480565011522,2.68199932531791,-4.07329390639088,-2.78270278383198,0.254802757604391,0.521844745519358,195.126259873965,2119.12625987396
1.01575518056853,3.35892707585421,-2.7768480330545,-1.42587494591562,0.227538760512237,0.503916888583142,154.641104725294,2078.64110472529
0.509932354413766,2.52579193545328,-3.12768195917625,-2.22862693409567,0.247968160911595,0.505710667214913,177.767451463556,2101.76745146356
0.35923735947547,2.43551796509934,-4.12801425148453,-3.11729952704828,0.272545516707046,0.500949875044977,233.688142982044,2157.68814298204
