"true_value","Parameter"
1.00495505290134,"A"
2.80558787465516,"alpha_0"
-1.95812820177562,"lambda_0"
-1.28141114494103,"m"
0.114466146563372,"mu0"
0.468464724413516,"sigma"
169.096545399588,"tau"
2093.09654539959,"tc"
