"Model","Parameter","Type","N","ARE"
"F-diffusion","mu","Closed",30000,0.0933118481513474
"F-diffusion","mu","Closed",150,0.0080895710591519
"F-diffusion","mu","Closed",1500,0.0364465751636516
"F-diffusion","mu","Closed",4500,0.0313269632165068
"F-diffusion","mu","Closed",15000,0.0315875643246413
"F-diffusion","mu","Closed",30000,0.0455591849040411
"F-diffusion","mu","Closed",150,0.01074717494569
"F-diffusion","mu","Closed",1500,0.0378929559593392
"F-diffusion","mu","Closed",4500,0.0145720521023794
"F-diffusion","mu","Closed",15000,0.0391591762956685
"F-diffusion","mu","Closed",30000,0.00891667397516313
"F-diffusion","mu","Closed",150,0.0384957424359738
"F-diffusion","mu","Closed",1500,0.00958140834441852
"F-diffusion","mu","Closed",4500,6.62164920217734
"F-diffusion","mu","Closed",15000,0.028022850094733
"F-diffusion","mu","Closed",30000,0.0873179345329394
"F-diffusion","mu","Closed",150,0.0863216957276904
"F-diffusion","mu","Closed",1500,0.0260222783120422
"F-diffusion","mu","Closed",4500,0.00759936260391368
"F-diffusion","mu","Closed",15000,4.48914835918609
"F-diffusion","mu","Closed",30000,0.0168748717883103
"F-diffusion","mu","Closed",150,0.00571807723261249
"F-diffusion","mu","Closed",1500,5.51931716494818
"F-diffusion","mu","Closed",4500,0.0312154169130403
"F-diffusion","mu","Closed",15000,0.0190442264796232
"F-diffusion","mu","Closed",30000,0.00174495217543064
"F-diffusion","mu","Closed",150,0.00677899249955743
"F-diffusion","mu","Closed",1500,0.111870855908789
"F-diffusion","mu","Closed",4500,0.0267651690189227
"F-diffusion","mu","Closed",15000,0.0190284814897637
"F-diffusion","mu","Closed",30000,0.0677179976367095
"F-diffusion","mu","Closed",150,0.0187230076471789
"F-diffusion","mu","Closed",1500,0.0656584512682214
"F-diffusion","mu","Closed",4500,0.025388855494977
"F-diffusion","mu","Closed",15000,31.3894942312674
"F-diffusion","mu","Closed",30000,0.000750632032168343
"F-diffusion","mu","Closed",150,0.061129616857868
"F-diffusion","mu","Closed",1500,0.0366517097064145
"F-diffusion","mu","Closed",4500,1.06258907656722
"F-diffusion","mu","Closed",15000,0.821597779653792
"F-diffusion","mu","Closed",30000,0.03691373314918
"F-diffusion","mu","Closed",150,0.000622124998557718
"F-diffusion","mu","Closed",1500,0.0430285104755087
"F-diffusion","mu","Closed",4500,0.0920207375987219
"F-diffusion","mu","Closed",15000,0.036246557125557
"F-diffusion","mu","Closed",30000,0.080091746429193
"F-diffusion","mu","Closed",150,0.0139191223695107
"F-diffusion","mu","Closed",1500,0.0377949274531969
"F-diffusion","mu","Closed",4500,0.0342288522232322
"F-diffusion","mu","Closed",15000,0.0437046407476234
"F-diffusion","mu","Closed",30000,0.0444246377063375
"F-diffusion","mu","Closed",150,0.0380536516968165
"F-diffusion","mu","Closed",1500,0.0866532979260118
"F-diffusion","mu","Closed",4500,1.71232258660768
"F-diffusion","mu","Closed",15000,7.06263957035293
"F-diffusion","mu","Closed",30000,0.0210376305562893
"F-diffusion","mu","Closed",150,0.0299104912552596
"F-diffusion","mu","Closed",1500,0.0160073268173021
"F-diffusion","mu","Closed",4500,0.00403238992112396
"F-diffusion","mu","Closed",15000,0.0284798314937202
"F-diffusion","mu","Closed",30000,0.00457532895964509
"F-diffusion","mu","Closed",150,0.00439121629948676
"F-diffusion","mu","Closed",1500,0.0446857230940935
"F-diffusion","mu","Closed",4500,0.0106678021555222
"F-diffusion","mu","Closed",15000,0.00592875769412502
"F-diffusion","mu","Closed",30000,0.029672738098148
"F-diffusion","mu","Closed",150,0.0174306505170369
"F-diffusion","mu","Closed",1500,0.0308399642539114
"F-diffusion","mu","Closed",4500,0.0675703902859284
"F-diffusion","mu","Closed",15000,0.00854764309460971
"F-diffusion","mu","Closed",30000,0.0422618092636073
"F-diffusion","mu","Closed",150,0.0977693912524833
"F-diffusion","mu","Closed",1500,0.0159546695350945
"F-diffusion","mu","Closed",4500,0.0391082263070546
"F-diffusion","mu","Closed",15000,0.0236200962475617
"F-diffusion","mu","Closed",30000,0.0274773850239064
"F-diffusion","mu","Closed",150,0.00594760125094146
"F-diffusion","mu","Closed",1500,0.00655564419300242
"F-diffusion","mu","Closed",4500,0.0512173034004817
"F-diffusion","mu","Closed",15000,0.00325473999649275
"F-diffusion","mu","Closed",30000,0.0550763578147195
"F-diffusion","mu","Closed",150,0.0496891693241433
"F-diffusion","mu","Closed",1500,0.0993941566357444
"F-diffusion","mu","Closed",4500,0.0583774028955928
"F-diffusion","mu","Closed",15000,0.00623032772119853
"F-diffusion","mu","Closed",30000,0.0247201272069873
"F-diffusion","mu","Closed",150,0.00944144924561314
"F-diffusion","mu","Closed",1500,0.0311527387745325
"F-diffusion","mu","Closed",4500,0.0735315343633693
"F-diffusion","mu","Closed",15000,0.0354233627437833
"F-diffusion","mu","Closed",30000,9.76655607480828
"F-diffusion","mu","Closed",150,0.049574020447603
"F-diffusion","mu","Closed",1500,0.0136553781756393
"F-diffusion","mu","Closed",4500,2.79993160555313
"F-diffusion","mu","Closed",15000,0.58305498130488
"F-diffusion","mu","Closed",30000,0.0152835375162673
"F-diffusion","mu","Closed",150,0.0770045100903209
"F-diffusion","mu","Closed",1500,0.0172488824573793
"F-diffusion","mu","Closed",4500,1.66138319314108
"F-diffusion","mu","Closed",15000,0.0468987142222125
"F-diffusion","mu","Closed",30000,0.0119743113544941
"F-diffusion","mu","Closed",150,0.00678648032692033
"F-diffusion","mu","Closed",1500,0.0292905449042139
"F-diffusion","mu","Closed",4500,0.0589962156835316
"F-diffusion","mu","Closed",15000,0.0602798179328538
"F-diffusion","mu","Closed",30000,0.0205646480642926
"F-diffusion","mu","Closed",150,0.00583661163471433
"F-diffusion","mu","Closed",1500,0.0414165362010594
"F-diffusion","mu","Closed",4500,0.0195925917227882
"F-diffusion","mu","Closed",15000,11.1547905294996
"F-diffusion","mu","Closed",30000,0.0826424290811023
"F-diffusion","mu","Closed",150,0.0258945502773207
"F-diffusion","mu","Closed",1500,0.0202222337295911
"F-diffusion","mu","Closed",4500,0.0537477084765207
"F-diffusion","mu","Closed",15000,9.97656237294291
"F-diffusion","mu","Closed",30000,26.3987272368542
"F-diffusion","mu","Closed",150,0.0598776026384508
"F-diffusion","mu","Closed",1500,0.0355327833376448
"F-diffusion","mu","Closed",4500,0.0216337667765192
"F-diffusion","mu","Closed",15000,0.0213082695460382
"F-diffusion","mu","Closed",30000,0.0507198472936973
"F-diffusion","mu","Closed",150,0.0957996232415498
"F-diffusion","mu","Closed",1500,0.0115102133156129
"F-diffusion","mu","Closed",4500,0.0283802658573228
"F-diffusion","mu","Closed",15000,4.82797192138984
"F-diffusion","mu","Closed",30000,0.897272947461795
"F-diffusion","mu","Closed",150,0.0771085420194045
"F-diffusion","mu","Closed",1500,0.0160498628365223
"F-diffusion","mu","Closed",4500,0.0318251311652369
"F-diffusion","mu","Closed",15000,0.0216227134088524
"F-diffusion","mu","Closed",30000,0.0775601373324035
"F-diffusion","mu","Closed",150,0.0642845652450282
"F-diffusion","mu","Closed",1500,0.00222776528011224
"F-diffusion","mu","Closed",4500,0.0043400207476719
"F-diffusion","mu","Closed",15000,0.0793907117480535
"F-diffusion","mu","Closed",30000,0.0127517123784185
"F-diffusion","mu","Closed",150,0.0430723232738913
"F-diffusion","mu","Closed",1500,0.0512134806021447
"F-diffusion","mu","Closed",4500,0.0814820133725486
"F-diffusion","mu","Closed",15000,0.0395260931325274
"F-diffusion","mu","Closed",30000,0.0452305226785071
"F-diffusion","mu","Closed",150,0.0686434235057665
"F-diffusion","mu","Closed",1500,0.0232558186216854
"F-diffusion","mu","Closed",4500,0.00951878430164095
"F-diffusion","mu","Closed",15000,0.0386580857901163
"F-diffusion","mu","Closed",30000,0.0422999797238833
"F-diffusion","mu","Closed",150,0.0600574851879652
"F-diffusion","mu","Closed",1500,0.00986743130633824
"F-diffusion","mu","Closed",4500,0.0755418440847448
"F-diffusion","mu","Closed",15000,0.0310555212778476
"F-diffusion","mu","Closed",30000,0.0856855121187198
"F-diffusion","mu","Closed",150,0.0144207148257793
"F-diffusion","mu","Closed",1500,0.0640807477933753
"F-diffusion","mu","Closed",4500,0.119798067755612
"F-diffusion","mu","Closed",15000,0.0407186247497564
"F-diffusion","mu","Closed",30000,0.102875973988575
"F-diffusion","mu","Closed",150,0.0313647362272997
"F-diffusion","mu","Closed",1500,0.0511167710354496
"F-diffusion","mu","Closed",4500,0.102472222211526
"F-diffusion","mu","Closed",15000,12.0869054679962
"F-diffusion","mu","Closed",30000,0.00872706343657085
"F-diffusion","mu","Closed",150,0.00178444572362958
"F-diffusion","mu","Closed",1500,0.00051538179100574
"F-diffusion","mu","Closed",4500,0.0152475177430564
"F-diffusion","mu","Closed",15000,0.0078891715433805
"F-diffusion","mu","Closed",30000,0.0150813435988144
"F-diffusion","mu","Closed",150,0.0289168561193268
"F-diffusion","mu","Closed",1500,0.0738051451987106
"F-diffusion","mu","Closed",4500,1.02576734468027
"F-diffusion","mu","Closed",15000,0.0162326796246971
"F-diffusion","mu","Closed",30000,0.0757117529222145
"F-diffusion","mu","Closed",150,0.0923074417631841
"F-diffusion","mu","Closed",1500,0.0418772888889349
"F-diffusion","mu","Closed",4500,0.0771777755345008
"F-diffusion","mu","Closed",15000,8.8987772957192
"F-diffusion","mu","Closed",30000,0.0363821871644913
"F-diffusion","mu","Closed",150,0.0779340497834008
"F-diffusion","mu","Closed",1500,0.0371224160752372
"F-diffusion","mu","Closed",4500,0.0431063873837363
"F-diffusion","mu","Closed",15000,0.0172291688474231
"F-diffusion","mu","Closed",30000,0.00102998399913448
"F-diffusion","mu","Closed",150,0.0567119782471059
"F-diffusion","mu","Closed",1500,0.0273999969947626
"F-diffusion","mu","Closed",4500,0.0856401028613752
"F-diffusion","mu","Closed",15000,25.8958374956346
"F-diffusion","mu","Closed",30000,0.0384930499925113
"F-diffusion","mu","Closed",150,0.062964324155327
"F-diffusion","mu","Closed",1500,0.000883201225153362
"F-diffusion","mu","Closed",4500,0.068439371596558
"F-diffusion","mu","Closed",15000,1.1621185945006
"F-diffusion","mu","Closed",30000,0.0317698682087616
"F-diffusion","mu","Closed",150,0.0141603748386569
"F-diffusion","mu","Closed",1500,0.0105477931299297
"F-diffusion","mu","Closed",4500,0.00282366772268232
"F-diffusion","mu","Closed",15000,1.16784232667822
"F-diffusion","mu","Closed",30000,0.000104125289473041
"F-diffusion","mu","Closed",150,0.00473820947801612
"F-diffusion","mu","Closed",1500,0.0693379293502407
"F-diffusion","mu","Closed",4500,0.0506712597156802
"F-diffusion","mu","Closed",15000,4.7218440812371
"F-diffusion","mu","Closed",30000,0.0454313259819119
"F-diffusion","mu","Closed",150,0.0561860437275576
"F-diffusion","mu","Closed",1500,0.11014220274468
"F-diffusion","mu","Closed",4500,5.38940535379729
"F-diffusion","mu","Closed",15000,3.24642820490853
"F-diffusion","mu","Closed",30000,0.0325226773007912
"F-diffusion","mu","Closed",150,0.0546896084362321
"F-diffusion","mu","Closed",1500,0.0206772543027926
"F-diffusion","mu","Closed",4500,0.0643532447020374
"F-diffusion","mu","Closed",15000,0.0271447020140565
"F-diffusion","mu","Closed",30000,0.077234864405533
"F-diffusion","mu","Closed",150,0.0315883416131099
"F-diffusion","mu","Closed",1500,0.0551661004720407
"F-diffusion","mu","Closed",4500,0.0298330690230184
"F-diffusion","mu","Closed",15000,0.0305376657431341
"F-diffusion","mu","Closed",30000,0.0191067854200318
"F-diffusion","mu","Closed",150,0.0571678298707726
"F-diffusion","mu","Closed",1500,0.0226909162097101
"F-diffusion","mu","Closed",4500,0.0189828310307923
"F-diffusion","mu","Closed",15000,1.27208518401464
"F-diffusion","mu","Closed",30000,0.0472238874302587
"F-diffusion","mu","Closed",150,0.0333030890938658
"F-diffusion","mu","Closed",1500,0.0180968609611134
"F-diffusion","mu","Closed",4500,0.0830641256526665
"F-diffusion","mu","Closed",15000,10.6292628493973
"F-diffusion","mu","Closed",30000,0.0371042272301696
"F-diffusion","mu","Closed",150,0.01584021255268
"F-diffusion","mu","Closed",1500,0.0935257468309983
"F-diffusion","mu","Closed",4500,0.0037732007575183
"F-diffusion","mu","Closed",15000,0.0502660901401527
"F-diffusion","mu","Closed",30000,0.0152065158396042
"F-diffusion","mu","Closed",150,0.025754036528352
"F-diffusion","mu","Closed",1500,0.00325566746285075
"F-diffusion","mu","Closed",4500,0.0709010123497402
"F-diffusion","mu","Closed",15000,0.0555450710667313
"F-diffusion","mu","Closed",30000,0.0307071680120714
"F-diffusion","mu","Closed",150,0.00736144072532076
"F-diffusion","mu","Closed",1500,0.00984860545890564
"F-diffusion","mu","Closed",4500,1.11334069855634
"F-diffusion","mu","Closed",15000,0.0491841766273485
"F-diffusion","mu","Closed",30000,0.0215816936811886
"F-diffusion","mu","Closed",150,0.0194737439526332
"F-diffusion","mu","Closed",1500,0.0323920811651685
"F-diffusion","mu","Closed",4500,0.0504355613066742
"F-diffusion","mu","Closed",15000,0.00912018764109517
"F-diffusion","mu","Closed",30000,0.000682587330574107
"F-diffusion","mu","Numeric",150,0.00950838419224192
"F-diffusion","mu","Numeric",1500,0.000802243090701321
"F-diffusion","mu","Numeric",4500,0.0134815725451035
"F-diffusion","mu","Numeric",15000,0.0683818125896481
"F-diffusion","mu","Numeric",30000,0.0941899722474846
"F-diffusion","mu","Numeric",150,0.00809342050972087
"F-diffusion","mu","Numeric",1500,0.036303655528212
"F-diffusion","mu","Numeric",4500,0.0308489210278862
"F-diffusion","mu","Numeric",15000,0.0301075853461085
"F-diffusion","mu","Numeric",30000,0.0585308387432766
"F-diffusion","mu","Numeric",150,0.0106526597603991
"F-diffusion","mu","Numeric",1500,0.0380358184474555
"F-diffusion","mu","Numeric",4500,0.0160953845064484
"F-diffusion","mu","Numeric",15000,0.0346607097965498
"F-diffusion","mu","Numeric",30000,0.00622210596657317
"F-diffusion","mu","Numeric",150,0.038492815587702
"F-diffusion","mu","Numeric",1500,0.00934632728456118
"F-diffusion","mu","Numeric",4500,0.013957831772659
"F-diffusion","mu","Numeric",15000,0.0371341099851993
"F-diffusion","mu","Numeric",30000,0.0923505232808011
"F-diffusion","mu","Numeric",150,0.086282303536494
"F-diffusion","mu","Numeric",1500,0.0256946446790324
"F-diffusion","mu","Numeric",4500,0.00954763647390612
"F-diffusion","mu","Numeric",15000,0.0476958850096286
"F-diffusion","mu","Numeric",30000,0.0230284206964851
"F-diffusion","mu","Numeric",150,0.00572143019626201
"F-diffusion","mu","Numeric",1500,0.05921988611829
"F-diffusion","mu","Numeric",4500,0.0296277984592563
"F-diffusion","mu","Numeric",15000,0.0223337692447603
"F-diffusion","mu","Numeric",30000,0.0022637128907069
"F-diffusion","mu","Numeric",150,0.00682918819786924
"F-diffusion","mu","Numeric",1500,0.111839135609773
"F-diffusion","mu","Numeric",4500,0.0219730621063075
"F-diffusion","mu","Numeric",15000,0.00684415034091136
"F-diffusion","mu","Numeric",30000,0.0732987716125812
"F-diffusion","mu","Numeric",150,0.0187217376724813
"F-diffusion","mu","Numeric",1500,0.0656395676886615
"F-diffusion","mu","Numeric",4500,0.0254656017904611
"F-diffusion","mu","Numeric",15000,0.0172898899318897
"F-diffusion","mu","Numeric",30000,0.00724055136946698
"F-diffusion","mu","Numeric",150,0.0610987271770039
"F-diffusion","mu","Numeric",1500,0.0365125500014353
"F-diffusion","mu","Numeric",4500,0.0912369967448926
"F-diffusion","mu","Numeric",15000,0.0526579193584682
"F-diffusion","mu","Numeric",30000,0.0297962867601331
"F-diffusion","mu","Numeric",150,0.000619461026752778
"F-diffusion","mu","Numeric",1500,0.0435704614711899
"F-diffusion","mu","Numeric",4500,0.0919821422911972
"F-diffusion","mu","Numeric",15000,0.034960941865849
"F-diffusion","mu","Numeric",30000,0.0992207876244191
"F-diffusion","mu","Numeric",150,0.0139220382267749
"F-diffusion","mu","Numeric",1500,0.037869627885596
"F-diffusion","mu","Numeric",4500,0.033359924646769
"F-diffusion","mu","Numeric",15000,0.0341132631242567
"F-diffusion","mu","Numeric",30000,0.0359907139445218
"F-diffusion","mu","Numeric",150,0.0380788292069485
"F-diffusion","mu","Numeric",1500,0.0838045357553665
"F-diffusion","mu","Numeric",4500,0.0524967578047254
"F-diffusion","mu","Numeric",15000,0.0737748879870298
"F-diffusion","mu","Numeric",30000,0.0165623711660003
"F-diffusion","mu","Numeric",150,0.029914260018678
"F-diffusion","mu","Numeric",1500,0.0157080588118093
"F-diffusion","mu","Numeric",4500,0.00511772119212073
"F-diffusion","mu","Numeric",15000,0.0425208608383045
"F-diffusion","mu","Numeric",30000,0.0107540723337097
"F-diffusion","mu","Numeric",150,0.00439880259482898
"F-diffusion","mu","Numeric",1500,0.0447458885612934
"F-diffusion","mu","Numeric",4500,0.00951267735182805
"F-diffusion","mu","Numeric",15000,0.0213566469155215
"F-diffusion","mu","Numeric",30000,0.0376460950524253
"F-diffusion","mu","Numeric",150,0.0174129321787436
"F-diffusion","mu","Numeric",1500,0.0302040438856587
"F-diffusion","mu","Numeric",4500,0.0671009832513437
"F-diffusion","mu","Numeric",15000,0.0281286102708398
"F-diffusion","mu","Numeric",30000,0.0591633217442653
"F-diffusion","mu","Numeric",150,0.0977725147044145
"F-diffusion","mu","Numeric",1500,0.0166887910208658
"F-diffusion","mu","Numeric",4500,0.0404499204975839
"F-diffusion","mu","Numeric",15000,0.0239561968238271
"F-diffusion","mu","Numeric",30000,0.0385957070311201
"F-diffusion","mu","Numeric",150,0.005955126734787
"F-diffusion","mu","Numeric",1500,0.00672472663503006
"F-diffusion","mu","Numeric",4500,0.0498397749722783
"F-diffusion","mu","Numeric",15000,0.00417413339833214
"F-diffusion","mu","Numeric",30000,0.0536823080013184
"F-diffusion","mu","Numeric",150,0.0496828799073608
"F-diffusion","mu","Numeric",1500,0.0999796081283249
"F-diffusion","mu","Numeric",4500,0.0593938098785495
"F-diffusion","mu","Numeric",15000,0.0125047506445538
"F-diffusion","mu","Numeric",30000,0.0341110586097694
"F-diffusion","mu","Numeric",150,0.00946092678561383
"F-diffusion","mu","Numeric",1500,0.0315757485394055
"F-diffusion","mu","Numeric",4500,0.0790671093513868
"F-diffusion","mu","Numeric",15000,0.0395429557789425
"F-diffusion","mu","Numeric",30000,0.037630808855416
"F-diffusion","mu","Numeric",150,0.0495525357026358
"F-diffusion","mu","Numeric",1500,0.0133626080191758
"F-diffusion","mu","Numeric",4500,0.0479856586861114
"F-diffusion","mu","Numeric",15000,0.0517933920346678
"F-diffusion","mu","Numeric",30000,0.022573459498332
"F-diffusion","mu","Numeric",150,0.0769803189626384
"F-diffusion","mu","Numeric",1500,0.0177357311527361
"F-diffusion","mu","Numeric",4500,0.0415739143446937
"F-diffusion","mu","Numeric",15000,0.0477992068808759
"F-diffusion","mu","Numeric",30000,0.0198021114848763
"F-diffusion","mu","Numeric",150,0.00656588367289835
"F-diffusion","mu","Numeric",1500,0.0295552355829063
"F-diffusion","mu","Numeric",4500,0.0593141182955673
"F-diffusion","mu","Numeric",15000,0.0535073121454424
"F-diffusion","mu","Numeric",30000,0.0273269592851349
"F-diffusion","mu","Numeric",150,0.00599592467387359
"F-diffusion","mu","Numeric",1500,0.0410911300668919
"F-diffusion","mu","Numeric",4500,0.019840263446236
"F-diffusion","mu","Numeric",15000,0.0525964361389301
"F-diffusion","mu","Numeric",30000,0.0914864965114098
"F-diffusion","mu","Numeric",150,0.0259102801484402
"F-diffusion","mu","Numeric",1500,0.0208083112465887
"F-diffusion","mu","Numeric",4500,0.0554977318707953
"F-diffusion","mu","Numeric",15000,0.0495547741455854
"F-diffusion","mu","Numeric",30000,0.0059256656607982
"F-diffusion","mu","Numeric",150,0.0598793618711755
"F-diffusion","mu","Numeric",1500,0.0355695796932547
"F-diffusion","mu","Numeric",4500,0.0202555896559106
"F-diffusion","mu","Numeric",15000,0.0100022348528173
"F-diffusion","mu","Numeric",30000,0.0619812075607063
"F-diffusion","mu","Numeric",150,0.0958003405888353
"F-diffusion","mu","Numeric",1500,0.0117583753741942
"F-diffusion","mu","Numeric",4500,0.0252827895619366
"F-diffusion","mu","Numeric",15000,0.0775527155940567
"F-diffusion","mu","Numeric",30000,0.00620874935130692
"F-diffusion","mu","Numeric",150,0.0770704591470526
"F-diffusion","mu","Numeric",1500,0.0161626818428927
"F-diffusion","mu","Numeric",4500,0.0322770110676136
"F-diffusion","mu","Numeric",15000,0.0119873565765991
"F-diffusion","mu","Numeric",30000,0.0808643219133455
"F-diffusion","mu","Numeric",150,0.0642811255081622
"F-diffusion","mu","Numeric",1500,0.00195122853167699
"F-diffusion","mu","Numeric",4500,0.00557735844812701
"F-diffusion","mu","Numeric",15000,0.0737863538080882
"F-diffusion","mu","Numeric",30000,0.00614284371234537
"F-diffusion","mu","Numeric",150,0.0430214366697894
"F-diffusion","mu","Numeric",1500,0.0512455830705292
"F-diffusion","mu","Numeric",4500,0.0807422814546956
"F-diffusion","mu","Numeric",15000,0.0426386285930448
"F-diffusion","mu","Numeric",30000,0.0448392850066916
"F-diffusion","mu","Numeric",150,0.0686439650089112
"F-diffusion","mu","Numeric",1500,0.0235050762429871
"F-diffusion","mu","Numeric",4500,0.00904291568587912
"F-diffusion","mu","Numeric",15000,0.0398970060176946
"F-diffusion","mu","Numeric",30000,0.0222648837754405
"F-diffusion","mu","Numeric",150,0.0600724577962032
"F-diffusion","mu","Numeric",1500,0.0100355644920184
"F-diffusion","mu","Numeric",4500,0.0569386077968785
"F-diffusion","mu","Numeric",15000,0.0388797804390238
"F-diffusion","mu","Numeric",30000,0.0930387765697121
"F-diffusion","mu","Numeric",150,0.0144884007341658
"F-diffusion","mu","Numeric",1500,0.0638783965636331
"F-diffusion","mu","Numeric",4500,0.11721839724681
"F-diffusion","mu","Numeric",15000,0.0446238166480176
"F-diffusion","mu","Numeric",30000,0.132762383190738
"F-diffusion","mu","Numeric",150,0.0313843261117195
"F-diffusion","mu","Numeric",1500,0.0506623378737711
"F-diffusion","mu","Numeric",4500,0.107807859520987
"F-diffusion","mu","Numeric",15000,0.00454006200597952
"F-diffusion","mu","Numeric",30000,0.0155001989414174
"F-diffusion","mu","Numeric",150,0.0017842186509591
"F-diffusion","mu","Numeric",1500,0.00032491456299791
"F-diffusion","mu","Numeric",4500,0.00776032311134551
"F-diffusion","mu","Numeric",15000,0.00561626881002842
"F-diffusion","mu","Numeric",30000,0.00306393303940888
"F-diffusion","mu","Numeric",150,0.0289179228433933
"F-diffusion","mu","Numeric",1500,0.0736014310615319
"F-diffusion","mu","Numeric",4500,0.0539565358345776
"F-diffusion","mu","Numeric",15000,0.0179077968564119
"F-diffusion","mu","Numeric",30000,0.0787430989191397
"F-diffusion","mu","Numeric",150,0.0922991631168263
"F-diffusion","mu","Numeric",1500,0.0420436075283739
"F-diffusion","mu","Numeric",4500,0.0780432321441325
"F-diffusion","mu","Numeric",15000,0.0431498034849496
"F-diffusion","mu","Numeric",30000,0.0372711831991365
"F-diffusion","mu","Numeric",150,0.0779351989053775
"F-diffusion","mu","Numeric",1500,0.0370022046544709
"F-diffusion","mu","Numeric",4500,0.0372150256857876
"F-diffusion","mu","Numeric",15000,0.0073814040401713
"F-diffusion","mu","Numeric",30000,0.0283809412988018
"F-diffusion","mu","Numeric",150,0.0568816131524393
"F-diffusion","mu","Numeric",1500,0.0274027070728031
"F-diffusion","mu","Numeric",4500,0.0873914417597566
"F-diffusion","mu","Numeric",15000,0.00223260053790373
"F-diffusion","mu","Numeric",30000,0.0510978023696107
"F-diffusion","mu","Numeric",150,0.0629430899467874
"F-diffusion","mu","Numeric",1500,0.000926873818496798
"F-diffusion","mu","Numeric",4500,0.0679026148047147
"F-diffusion","mu","Numeric",15000,0.0859674081394301
"F-diffusion","mu","Numeric",30000,0.0275881262610349
"F-diffusion","mu","Numeric",150,0.0141846374665737
"F-diffusion","mu","Numeric",1500,0.00979474640651619
"F-diffusion","mu","Numeric",4500,0.00191636835483165
"F-diffusion","mu","Numeric",15000,0.0607329745706425
"F-diffusion","mu","Numeric",30000,0.0179679741195997
"F-diffusion","mu","Numeric",150,0.0047403119732232
"F-diffusion","mu","Numeric",1500,0.0718932313762231
"F-diffusion","mu","Numeric",4500,0.0491681940153666
"F-diffusion","mu","Numeric",15000,0.0419891139627613
"F-diffusion","mu","Numeric",30000,0.0776195942835683
"F-diffusion","mu","Numeric",150,0.0561577105502822
"F-diffusion","mu","Numeric",1500,0.110052247111248
"F-diffusion","mu","Numeric",4500,0.0117735727244785
"F-diffusion","mu","Numeric",15000,0.0468602347956423
"F-diffusion","mu","Numeric",30000,0.0434172667520147
"F-diffusion","mu","Numeric",150,0.0546365257757077
"F-diffusion","mu","Numeric",1500,0.0213022115001472
"F-diffusion","mu","Numeric",4500,0.0640595531785914
"F-diffusion","mu","Numeric",15000,0.0229769567496873
"F-diffusion","mu","Numeric",30000,0.0965451246879621
"F-diffusion","mu","Numeric",150,0.0315951094168619
"F-diffusion","mu","Numeric",1500,0.0551721982536103
"F-diffusion","mu","Numeric",4500,0.0341827099159124
"F-diffusion","mu","Numeric",15000,0.0152317294488252
"F-diffusion","mu","Numeric",30000,0.0168393890888659
"F-diffusion","mu","Numeric",150,0.0571651648364506
"F-diffusion","mu","Numeric",1500,0.0223072982206975
"F-diffusion","mu","Numeric",4500,0.0212503727816066
"F-diffusion","mu","Numeric",15000,0.00084495957307445
"F-diffusion","mu","Numeric",30000,0.0552150411651931
"F-diffusion","mu","Numeric",150,0.0333077713575848
"F-diffusion","mu","Numeric",1500,0.0181125581108647
"F-diffusion","mu","Numeric",4500,0.0854880884967827
"F-diffusion","mu","Numeric",15000,0.0270075884987058
"F-diffusion","mu","Numeric",30000,0.0322852389691142
"F-diffusion","mu","Numeric",150,0.0158336670838189
"F-diffusion","mu","Numeric",1500,0.0934891113212001
"F-diffusion","mu","Numeric",4500,0.00739179936092585
"F-diffusion","mu","Numeric",15000,0.0523941822820175
"F-diffusion","mu","Numeric",30000,0.0220332441134247
"F-diffusion","mu","Numeric",150,0.0257806443813774
"F-diffusion","mu","Numeric",1500,0.00342482492262382
"F-diffusion","mu","Numeric",4500,0.0632390332254181
"F-diffusion","mu","Numeric",15000,0.0547135026703853
"F-diffusion","mu","Numeric",30000,0.0488524778065254
"F-diffusion","mu","Numeric",150,0.00734797826015011
"F-diffusion","mu","Numeric",1500,0.0098959881847244
"F-diffusion","mu","Numeric",4500,0.0457808632389979
"F-diffusion","mu","Numeric",15000,0.0631847802494283
"F-diffusion","mu","Numeric",30000,0.0211877827219123
"F-diffusion","mu","Numeric",150,0.0194772312598983
"F-diffusion","mu","Numeric",1500,0.0319607121445883
"F-diffusion","mu","Numeric",4500,0.0501285492567579
"F-diffusion","mu","Numeric",15000,0.00627593618682415
"F-diffusion","mu","Numeric",30000,0.00666329661602499
"F-diffusion","sigma","Closed",150,0.0231289927627335
"F-diffusion","sigma","Closed",1500,0.00679538998857476
"F-diffusion","sigma","Closed",4500,0.0128555990202358
"F-diffusion","sigma","Closed",15000,0.00350049118462962
"F-diffusion","sigma","Closed",30000,0.00353099401855202
"F-diffusion","sigma","Closed",150,0.0342912320597973
"F-diffusion","sigma","Closed",1500,0.00531968738154143
"F-diffusion","sigma","Closed",4500,0.0168091529832774
"F-diffusion","sigma","Closed",15000,0.0195138454912486
"F-diffusion","sigma","Closed",30000,0.0084814397633511
"F-diffusion","sigma","Closed",150,0.0654060746133556
"F-diffusion","sigma","Closed",1500,0.00599446967861147
"F-diffusion","sigma","Closed",4500,0.00408870219276621
"F-diffusion","sigma","Closed",15000,0.00465761497860299
"F-diffusion","sigma","Closed",30000,0.00523995132427198
"F-diffusion","sigma","Closed",150,0.0117477734464466
"F-diffusion","sigma","Closed",1500,0.00209211342111456
"F-diffusion","sigma","Closed",4500,0.000905459112323093
