"Model","Parameter","Type","N","ARE"
"F-diffusion","alpha","Closed",30000,0.4311382057175
"F-diffusion","alpha","Closed",150,0.432987715771435
"F-diffusion","alpha","Closed",1500,0.189020508164464
"F-diffusion","alpha","Closed",4500,0.120770620628997
"F-diffusion","alpha","Closed",15000,0.993202461248121
"F-diffusion","alpha","Closed",30000,1.01108953659387
"F-diffusion","alpha","Closed",150,0.404379525548342
"F-diffusion","alpha","Closed",1500,0.491763418394836
"F-diffusion","alpha","Closed",4500,0.318955161546527
"F-diffusion","alpha","Closed",15000,0.305356895124979
"F-diffusion","alpha","Closed",30000,0.140529552018119
"F-diffusion","alpha","Closed",150,0.318599871524739
"F-diffusion","alpha","Closed",1500,0.159037726726604
"F-diffusion","alpha","Closed",4500,0.169491211869703
"F-diffusion","alpha","Closed",15000,0.188129167837499
"F-diffusion","alpha","Closed",30000,0.00425384295399025
"F-diffusion","alpha","Closed",150,0.183079255631174
"F-diffusion","alpha","Closed",1500,0.283642881132748
"F-diffusion","alpha","Closed",4500,0.0328365882239848
"F-diffusion","alpha","Closed",15000,0.0601516192426337
"F-diffusion","alpha","Closed",30000,0.0606756871597229
"F-diffusion","alpha","Closed",150,0.00536048573988907
"F-diffusion","alpha","Closed",1500,0.23737191379257
"F-diffusion","alpha","Closed",4500,0.244660859517705
"F-diffusion","alpha","Closed",15000,0.0487626981040298
"F-diffusion","alpha","Closed",30000,0.318322053001654
"F-diffusion","alpha","Closed",150,0.27585588858876
"F-diffusion","alpha","Closed",1500,0.122518093198333
"F-diffusion","alpha","Closed",4500,0.483783875684759
"F-diffusion","alpha","Closed",15000,0.280986502566322
"F-diffusion","alpha","Closed",30000,0.640228240403327
"F-diffusion","alpha","Closed",150,0.151712786051212
"F-diffusion","alpha","Closed",1500,0.293892692168752
"F-diffusion","alpha","Closed",4500,0.0420006563462553
"F-diffusion","alpha","Closed",15000,0.0638947886642835
"F-diffusion","alpha","Closed",30000,0.467270981824742
"F-diffusion","alpha","Closed",150,0.00927649747836971
"F-diffusion","alpha","Closed",1500,0.375298917094633
"F-diffusion","alpha","Closed",4500,0.339439181819503
"F-diffusion","alpha","Closed",15000,0.997718365082563
"F-diffusion","alpha","Closed",30000,0.0969324521751559
"F-diffusion","alpha","Closed",150,0.0409392997801888
"F-diffusion","alpha","Closed",1500,0.18381696932072
"F-diffusion","alpha","Closed",4500,0.000525275784290896
"F-diffusion","alpha","Closed",15000,0.0616962764872466
"F-diffusion","alpha","Closed",30000,0.515418731645312
"F-diffusion","alpha","Closed",150,0.178817969578292
"F-diffusion","alpha","Closed",1500,0.257900487810328
"F-diffusion","alpha","Closed",4500,1.01036776016852
"F-diffusion","alpha","Closed",15000,0.116829135763085
"F-diffusion","alpha","Closed",30000,0.220991523343584
"F-diffusion","alpha","Closed",150,0.439627806108119
"F-diffusion","alpha","Closed",1500,0.0328021221794787
"F-diffusion","alpha","Closed",4500,0.0659084811720636
"F-diffusion","alpha","Closed",15000,0.995794392166127
"F-diffusion","alpha","Closed",30000,0.186683348396863
"F-diffusion","alpha","Closed",150,0.12756135819239
"F-diffusion","alpha","Closed",1500,0.17753699974087
"F-diffusion","alpha","Closed",4500,0.0332056300789527
"F-diffusion","alpha","Closed",15000,0.377412320297465
"F-diffusion","alpha","Closed",30000,0.365874291588027
"F-diffusion","alpha","Closed",150,0.0683571903099115
"F-diffusion","alpha","Closed",1500,0.0924064215439128
"F-diffusion","alpha","Closed",4500,0.292182631063279
"F-diffusion","alpha","Closed",15000,0.99864426524816
"F-diffusion","alpha","Closed",30000,0.20437897454624
"F-diffusion","alpha","Closed",150,0.164769891360418
"F-diffusion","alpha","Closed",1500,0.0053742737684144
"F-diffusion","alpha","Closed",4500,0.410121889060002
"F-diffusion","alpha","Closed",15000,0.965872414826548
"F-diffusion","alpha","Closed",30000,0.165744253449716
"F-diffusion","alpha","Closed",150,0.226504030849519
"F-diffusion","alpha","Closed",1500,0.101784332999725
"F-diffusion","alpha","Closed",4500,0.327221377582116
"F-diffusion","alpha","Closed",15000,0.964370969872608
"F-diffusion","alpha","Closed",30000,0.339978662673654
"F-diffusion","alpha","Closed",150,0.671203414642945
"F-diffusion","alpha","Closed",1500,0.397983396117004
"F-diffusion","alpha","Closed",4500,0.104404623830845
"F-diffusion","alpha","Closed",15000,0.992871060993577
"F-diffusion","alpha","Closed",30000,0.3997687148956
"F-diffusion","alpha","Closed",150,0.382853747861156
"F-diffusion","alpha","Closed",1500,0.194328755425886
"F-diffusion","alpha","Closed",4500,0.994881130931685
"F-diffusion","alpha","Closed",15000,0.990231427858054
"F-diffusion","alpha","Closed",30000,0.236819354109812
"F-diffusion","alpha","Closed",150,0.2047994627686
"F-diffusion","alpha","Closed",1500,0.0866775530113565
"F-diffusion","alpha","Closed",4500,0.0578309820052773
"F-diffusion","alpha","Closed",15000,0.00306284732963835
"F-diffusion","alpha","Closed",30000,0.219085723427589
"F-diffusion","alpha","Closed",150,0.595991205837065
"F-diffusion","alpha","Closed",1500,0.050679112555093
"F-diffusion","alpha","Closed",4500,0.299991201661853
"F-diffusion","alpha","Closed",15000,0.181482086726864
"F-diffusion","alpha","Closed",30000,0.0463101674676789
"F-diffusion","alpha","Closed",150,0.0449252211470593
"F-diffusion","alpha","Closed",1500,0.444794091717886
"F-diffusion","alpha","Closed",4500,0.181985690781161
"F-diffusion","alpha","Closed",15000,0.964299513734511
"F-diffusion","alpha","Closed",30000,0.112034607392267
"F-diffusion","alpha","Closed",150,0.0474624964183196
"F-diffusion","alpha","Closed",1500,0.239017355626054
"F-diffusion","alpha","Closed",4500,0.394272522270153
"F-diffusion","alpha","Closed",15000,0.996712830150171
"F-diffusion","alpha","Closed",30000,0.065558783818846
"F-diffusion","alpha","Closed",150,0.842401594242023
"F-diffusion","alpha","Closed",1500,0.149268561892174
"F-diffusion","alpha","Closed",4500,0.51045887097311
"F-diffusion","alpha","Closed",15000,0.26507109461743
"F-diffusion","alpha","Closed",30000,0.228852419466433
"F-diffusion","alpha","Closed",150,0.201923820028894
"F-diffusion","alpha","Closed",1500,0.224648118524125
"F-diffusion","alpha","Closed",4500,0.518726106808147
"F-diffusion","alpha","Closed",15000,0.0242041562327292
"F-diffusion","alpha","Closed",30000,0.270546636586059
"F-diffusion","alpha","Closed",150,0.55537181792219
"F-diffusion","alpha","Closed",1500,0.0976001601825791
"F-diffusion","alpha","Closed",4500,1.01069030671562
"F-diffusion","alpha","Closed",15000,0.357305664673167
"F-diffusion","alpha","Closed",30000,0.00466529082658288
"F-diffusion","alpha","Closed",150,0.713861171583945
"F-diffusion","alpha","Closed",1500,0.29609601770041
"F-diffusion","alpha","Closed",4500,0.716800067664817
"F-diffusion","alpha","Closed",15000,0.358436209470418
"F-diffusion","alpha","Closed",30000,0.185421659207268
"F-diffusion","alpha","Numeric",150,0.0375382708300955
"F-diffusion","alpha","Numeric",1500,0.295563361366073
"F-diffusion","alpha","Numeric",4500,0.190138563238108
"F-diffusion","alpha","Numeric",15000,0.111745543689229
"F-diffusion","alpha","Numeric",30000,0.0492827618785747
"F-diffusion","alpha","Numeric",150,0.0498714632553745
"F-diffusion","alpha","Numeric",1500,0.170344185109277
"F-diffusion","alpha","Numeric",4500,0.0274126066634696
"F-diffusion","alpha","Numeric",15000,0.0682762649857823
"F-diffusion","alpha","Numeric",30000,0.0715968603966728
"F-diffusion","alpha","Numeric",150,0.102554568243371
"F-diffusion","alpha","Numeric",1500,0.0560578034478857
"F-diffusion","alpha","Numeric",4500,0.15410901654701
"F-diffusion","alpha","Numeric",15000,0.209861344441232
"F-diffusion","alpha","Numeric",30000,0.0889263685543394
"F-diffusion","alpha","Numeric",150,0.70783052408548
"F-diffusion","alpha","Numeric",1500,0.147848270129909
"F-diffusion","alpha","Numeric",4500,0.147120407197792
"F-diffusion","alpha","Numeric",15000,0.175551192500178
"F-diffusion","alpha","Numeric",30000,0.230956974142375
"F-diffusion","alpha","Numeric",150,0.784638609499417
"F-diffusion","alpha","Numeric",1500,0.398114815474517
"F-diffusion","alpha","Numeric",4500,0.0148359733196741
"F-diffusion","alpha","Numeric",15000,0.0214149564164217
"F-diffusion","alpha","Numeric",30000,0.0752706336705623
"F-diffusion","alpha","Numeric",150,0.0542253746187626
"F-diffusion","alpha","Numeric",1500,0.167276723976204
"F-diffusion","alpha","Numeric",4500,0.257171438798401
"F-diffusion","alpha","Numeric",15000,0.281209820673876
"F-diffusion","alpha","Numeric",30000,0.0669013364811195
"F-diffusion","alpha","Numeric",150,0.190778892548476
"F-diffusion","alpha","Numeric",1500,0.0212609657039355
"F-diffusion","alpha","Numeric",4500,0.0327620313638875
"F-diffusion","alpha","Numeric",15000,0.193572860784131
"F-diffusion","alpha","Numeric",30000,0.127111325526188
"F-diffusion","alpha","Numeric",150,0.365660966049729
"F-diffusion","alpha","Numeric",1500,0.0953796218377905
"F-diffusion","alpha","Numeric",4500,0.610278748159324
"F-diffusion","alpha","Numeric",15000,0.0151252246831049
"F-diffusion","alpha","Numeric",30000,0.0166242062086602
"F-diffusion","alpha","Numeric",150,0.181468599843392
"F-diffusion","alpha","Numeric",1500,0.343234228159749
"F-diffusion","alpha","Numeric",4500,0.0638695417256474
"F-diffusion","alpha","Numeric",15000,0.171812824966892
"F-diffusion","alpha","Numeric",30000,0.175212201351531
"F-diffusion","alpha","Numeric",150,0.196781890414679
"F-diffusion","alpha","Numeric",1500,0.0593182149270651
"F-diffusion","alpha","Numeric",4500,0.121949130570549
"F-diffusion","alpha","Numeric",15000,0.095245937692293
"F-diffusion","alpha","Numeric",30000,0.113494818147658
"F-diffusion","alpha","Numeric",150,0.00468620010156778
"F-diffusion","alpha","Numeric",1500,0.127625427344909
"F-diffusion","alpha","Numeric",4500,0.0663439796413102
"F-diffusion","alpha","Numeric",15000,0.152822870713262
"F-diffusion","alpha","Numeric",30000,0.134205742567221
"F-diffusion","alpha","Numeric",150,0.502807377099712
"F-diffusion","alpha","Numeric",1500,0.151172292796604
"F-diffusion","alpha","Numeric",4500,0.0342944400678265
"F-diffusion","alpha","Numeric",15000,0.0212611102938427
"F-diffusion","alpha","Numeric",30000,0.0273387635747735
"F-diffusion","alpha","Numeric",150,0.0318716242471414
"F-diffusion","alpha","Numeric",1500,0.297918074790754
"F-diffusion","alpha","Numeric",4500,0.29406818905788
"F-diffusion","alpha","Numeric",15000,0.20591851504228
"F-diffusion","alpha","Numeric",30000,0.0234752387561018
"F-diffusion","alpha","Numeric",150,0.186291799701679
"F-diffusion","alpha","Numeric",1500,0.0619993106057819
"F-diffusion","alpha","Numeric",4500,0.280903984788483
"F-diffusion","alpha","Numeric",15000,0.033969758094453
"F-diffusion","alpha","Numeric",30000,0.132767125866571
"F-diffusion","alpha","Numeric",150,0.0300587954341295
"F-diffusion","alpha","Numeric",1500,0.102394117894735
"F-diffusion","alpha","Numeric",4500,0.220242173096344
"F-diffusion","alpha","Numeric",15000,0.122862479994591
"F-diffusion","alpha","Numeric",30000,0.199255714181539
"F-diffusion","alpha","Numeric",150,0.601363819674025
"F-diffusion","alpha","Numeric",1500,0.24597457329504
"F-diffusion","alpha","Numeric",4500,0.13869369596273
"F-diffusion","alpha","Numeric",15000,0.213313182215353
"F-diffusion","alpha","Numeric",30000,0.22154913554704
"F-diffusion","alpha","Numeric",150,0.29218653183305
"F-diffusion","alpha","Numeric",1500,0.219146977266466
"F-diffusion","alpha","Numeric",4500,0.42023529215778
"F-diffusion","alpha","Numeric",15000,0.236397234768465
"F-diffusion","alpha","Numeric",30000,0.160740140281633
"F-diffusion","alpha","Numeric",150,0.0835160288970247
"F-diffusion","alpha","Numeric",1500,0.0997097699060363
"F-diffusion","alpha","Numeric",4500,0.306761275479548
"F-diffusion","alpha","Numeric",15000,0.0346821241733039
"F-diffusion","alpha","Numeric",30000,0.199183672325403
"F-diffusion","alpha","Numeric",150,0.246325629071637
"F-diffusion","alpha","Numeric",1500,0.0639836459681134
"F-diffusion","alpha","Numeric",4500,0.245480105929001
"F-diffusion","alpha","Numeric",15000,0.0175856012306746
"F-diffusion","alpha","Numeric",30000,0.217268153885554
"F-diffusion","alpha","Numeric",150,0.139167337292065
"F-diffusion","alpha","Numeric",1500,0.163700508408805
"F-diffusion","alpha","Numeric",4500,0.161163864123775
"F-diffusion","alpha","Numeric",15000,0.239345749607088
"F-diffusion","alpha","Numeric",30000,0.178615832215966
"F-diffusion","alpha","Numeric",150,0.249700682538189
"F-diffusion","alpha","Numeric",1500,0.109824032459512
"F-diffusion","alpha","Numeric",4500,0.113088579897623
"F-diffusion","alpha","Numeric",15000,0.102191948917736
"F-diffusion","alpha","Numeric",30000,0.110794627433313
"F-diffusion","alpha","Numeric",150,0.0411116284005065
"F-diffusion","alpha","Numeric",1500,0.339081711002018
"F-diffusion","alpha","Numeric",4500,0.0745544411474328
"F-diffusion","alpha","Numeric",15000,0.100089745791843
"F-diffusion","alpha","Numeric",30000,0.196982041938096
"F-diffusion","alpha","Numeric",150,0.168954478128003
"F-diffusion","alpha","Numeric",1500,0.0720818474335739
"F-diffusion","alpha","Numeric",4500,0.152750554642709
"F-diffusion","alpha","Numeric",15000,0.18674384891126
"F-diffusion","alpha","Numeric",30000,0.0755273077169948
"F-diffusion","alpha","Numeric",150,0.060513984983724
"F-diffusion","alpha","Numeric",1500,0.056409123721059
"F-diffusion","alpha","Numeric",4500,0.00482594015155492
"F-diffusion","alpha","Numeric",15000,0.0651827980274853
"F-diffusion","alpha","Numeric",30000,0.219587170975999
"F-diffusion","alpha","Numeric",150,0.152465478299205
"F-diffusion","alpha","Numeric",1500,0.114945884003723
"F-diffusion","alpha","Numeric",4500,0.200745247301268
"F-diffusion","alpha","Numeric",15000,0.0169095204105352
"F-diffusion","alpha","Numeric",30000,0.117109899204789
"F-diffusion","alpha","Numeric",150,0.43313841661125
"F-diffusion","alpha","Numeric",1500,0.177785705831774
"F-diffusion","alpha","Numeric",4500,0.0117182237456512
"F-diffusion","alpha","Numeric",15000,0.0330852781607562
"F-diffusion","alpha","Numeric",30000,0.244445721051523
"F-diffusion","alpha","Numeric",150,0.404391947448939
"F-diffusion","alpha","Numeric",1500,0.501522757263051
"F-diffusion","alpha","Numeric",4500,0.300952294243613
"F-diffusion","alpha","Numeric",15000,0.147741869355187
"F-diffusion","alpha","Numeric",30000,0.0758831624994709
"F-diffusion","alpha","Numeric",150,0.31854666193792
"F-diffusion","alpha","Numeric",1500,0.153021246410388
"F-diffusion","alpha","Numeric",4500,0.134508182572658
"F-diffusion","alpha","Numeric",15000,0.0202244254359008
"F-diffusion","alpha","Numeric",30000,0.00491390354240432
"F-diffusion","alpha","Numeric",150,0.183155333366539
"F-diffusion","alpha","Numeric",1500,0.283078661930842
"F-diffusion","alpha","Numeric",4500,0.0267944346626037
"F-diffusion","alpha","Numeric",15000,0.171466945911906
"F-diffusion","alpha","Numeric",30000,0.231021142385704
"F-diffusion","alpha","Numeric",150,0.00528723949112057
"F-diffusion","alpha","Numeric",1500,0.241653427322284
"F-diffusion","alpha","Numeric",4500,0.219694966373698
"F-diffusion","alpha","Numeric",15000,0.0591497689744178
"F-diffusion","alpha","Numeric",30000,0.168601053859035
"F-diffusion","alpha","Numeric",150,0.275751126807666
"F-diffusion","alpha","Numeric",1500,0.122870656885585
"F-diffusion","alpha","Numeric",4500,0.535824579170962
"F-diffusion","alpha","Numeric",15000,0.0633540641230506
"F-diffusion","alpha","Numeric",30000,0.195274003494986
"F-diffusion","alpha","Numeric",150,0.152353956387531
"F-diffusion","alpha","Numeric",1500,0.294868218672019
"F-diffusion","alpha","Numeric",4500,0.0394219887021127
"F-diffusion","alpha","Numeric",15000,0.0762740152113392
"F-diffusion","alpha","Numeric",30000,0.0145160385950234
