"delta","Model","Type","Method","Parameter","ARE"
0.1,"Linear","Estimation eq.","Martingale","alpha0",0.0492598131383212
0.1,"Linear","Estimation eq.","Martingale","mu0",0.00915522290741569
0.1,"Linear","Estimation eq.","Martingale","sigma",0.0347622935710599
0.1,"Linear","Estimation eq.","Martingale","running_time",0.0007792455
0.04,"Linear","Estimation eq.","Martingale","alpha0",0.0414761220367771
0.04,"Linear","Estimation eq.","Martingale","mu0",0.0127103843223278
0.04,"Linear","Estimation eq.","Martingale","sigma",0.0139489856721822
0.04,"Linear","Estimation eq.","Martingale","running_time",0.000930268
0.01,"Linear","Estimation eq.","Martingale","alpha0",0.0492432235793825
0.01,"Linear","Estimation eq.","Martingale","mu0",0.0144829069902669
0.01,"Linear","Estimation eq.","Martingale","sigma",0.00787704088371588
0.01,"Linear","Estimation eq.","Martingale","running_time",0.0017757975
0.004,"Linear","Estimation eq.","Martingale","alpha0",0.0632301481629783
0.004,"Linear","Estimation eq.","Martingale","mu0",0.01145316836701
0.004,"Linear","Estimation eq.","Martingale","sigma",0.00507578459843942
0.004,"Linear","Estimation eq.","Martingale","running_time",0.003740755
0.2,"Linear","Likelihood (Alt.)","Strang (Alternative)","alpha0",0.210691191068647
0.2,"Linear","Likelihood (Alt.)","Strang (Alternative)","mu0",0.00992517899083098
0.2,"Linear","Likelihood (Alt.)","Strang (Alternative)","sigma",0.0467113913798239
0.2,"Linear","Likelihood (Alt.)","Strang (Alternative)","running_time",0.002670899
0.1,"Linear","Likelihood (Alt.)","Strang (Alternative)","alpha0",0.191922760233459
0.1,"Linear","Likelihood (Alt.)","Strang (Alternative)","mu0",0.00871008447337465
0.1,"Linear","Likelihood (Alt.)","Strang (Alternative)","sigma",0.026996263372531
0.1,"Linear","Likelihood (Alt.)","Strang (Alternative)","running_time",0.003365706
0.04,"Linear","Likelihood (Alt.)","Strang (Alternative)","alpha0",0.157798561528293
0.04,"Linear","Likelihood (Alt.)","Strang (Alternative)","mu0",0.0119409265371385
0.04,"Linear","Likelihood (Alt.)","Strang (Alternative)","sigma",0.0181783518801725
0.04,"Linear","Likelihood (Alt.)","Strang (Alternative)","running_time",0.0052872045
0.01,"Linear","Likelihood (Alt.)","Strang (Alternative)","alpha0",0.204362469844295
0.01,"Linear","Likelihood (Alt.)","Strang (Alternative)","mu0",0.0143498747605044
0.01,"Linear","Likelihood (Alt.)","Strang (Alternative)","sigma",0.00802970635648263
0.01,"Linear","Likelihood (Alt.)","Strang (Alternative)","running_time",0.017491539
0.004,"Linear","Likelihood (Alt.)","Strang (Alternative)","alpha0",0.211815749487184
0.004,"Linear","Likelihood (Alt.)","Strang (Alternative)","mu0",0.0105013233577677
0.004,"Linear","Likelihood (Alt.)","Strang (Alternative)","sigma",0.00519150017250225
0.004,"Linear","Likelihood (Alt.)","Strang (Alternative)","running_time",0.040381401
0.2,"Linear","Likelihood","Strang","alpha0",0.215642339494756
0.2,"Linear","Likelihood","Strang","mu0",0.0106235442767784
0.2,"Linear","Likelihood","Strang","sigma",0.0469173128520672
0.2,"Linear","Likelihood","Strang","running_time",0.012356074
0.1,"Linear","Likelihood","Strang","alpha0",0.200363595274849
0.1,"Linear","Likelihood","Strang","mu0",0.00880758792996158
0.1,"Linear","Likelihood","Strang","sigma",0.0318953621242489
0.1,"Linear","Likelihood","Strang","running_time",0.017311035
0.04,"Linear","Likelihood","Strang","alpha0",0.163574903915791
0.04,"Linear","Likelihood","Strang","mu0",0.0120868724409979
0.04,"Linear","Likelihood","Strang","sigma",0.0206830597810974
