"A","alpha_0","lambda_0","m","mu0","sigma","tau","tc"
0.239278179284907,2.21482004880289,-5.1252352630308,-4.31615778668779,0.31197014253245,0.588321429661611,159.186523239117,2108.18652323912
0.25182651973207,2.51552793336976,-6.2819841118164,-4.69881882578994,0.295746353536985,0.615329327471047,152.663861458657,2101.66386145866
0.32669308346078,2.70344707603039,-5.59288401171087,-3.79380601868274,0.343788581410691,0.609080900963196,132.706971508367,2081.70697150837
0.274524475831939,2.20620709861511,-4.4325280534908,-3.73793534437668,0.280298534277048,0.612573283496832,139.298170480051,2088.29817048005
0.376818638280888,2.62935407950994,-4.58675750951185,-3.1981050423434,0.290780342288202,0.62950680432898,131.049332080799,2080.0493320808
0.265262350535781,2.70976188540569,-6.92032761223587,-4.79552366260852,0.312177976792015,0.597493897373116,161.665293008326,2110.66529300833
0.217695308026297,2.42932785200814,-6.77740125183311,-5.24414937407841,0.33550200663643,0.604620933593445,180.482904900472,2129.48290490047
0.265363161421729,2.31876787013267,-5.0654020764912,-4.08680410617227,0.28224218063986,0.621389463421236,146.766913966173,2095.76691396617
0.333732449566268,2.63520558132546,-5.20200273068587,-3.66953499449208,0.27854614767775,0.621073673837628,138.472565570317,2087.47256557032
0.339110202420575,2.72134001705243,-5.45964957375875,-3.67295893203672,0.339512526544383,0.617237939598314,127.110453026044,2076.11045302604
0.278203071080171,2.77456199754977,-6.91778333750759,-4.6796111751074,0.306965692604852,0.651091556196377,157.090136643296,2106.0901366433
0.420637048563986,2.7296726080196,-4.42846901646557,-2.94294701772906,0.301741743446918,0.616304471006646,118.406648151834,2067.40664815183
0.257699482735283,2.54879898290355,-6.30227909879376,-4.69184601432155,0.253447154003809,0.631004946816312,175.717252265696,2124.7172522657
0.332239396963355,2.61120312065058,-5.13062403165827,-3.59307041564069,0.33663079456617,0.577580268957087,127.249806329311,2076.24980632931
0.180669301195283,2.14112560504064,-6.34366052537809,-5.64866550623627,0.276872454212045,0.605929607592772,204.923622320504,2153.9236223205
0.249670586900275,2.90105430012857,-8.42722019920597,-5.48154607896373,0.328217770566773,0.619099428957088,184.376460023893,2133.37646002389
0.207757116323574,2.27148112349385,-6.20872414106977,-5.15087519300371,0.315799459805999,0.575559803267706,162.477249611768,2111.47724961177
0.242890302218812,2.48310884151845,-6.3463109297716,-4.79501254623815,0.316572434378943,0.617614125116297,157.156173249446,2106.15617324945
0.425777218473217,2.77533151039079,-4.52259107485136,-2.97090206366959,0.28823368852351,0.607528865362789,132.06747507145,2081.06747507145
0.183552635449924,2.14275092486613,-6.25349441968005,-5.4935829533704,0.343301163313132,0.596160839273308,179.013753058098,2128.0137530581
0.239278179284907,2.21482004880289,-5.1252352630308,-4.31615778668779,0.31197014253245,0.588321429661611,159.186523239117,2108.18652323912
0.302528290381807,2.49922981756665,-5.16162444934592,-3.82536116555573,0.305210911542397,0.613472324392725,143.690225342383,2092.69022534238
0.312643487727014,2.75363183933384,-6.06320665890035,-4.06338776338511,0.340401132640415,0.617740777010469,146.764793474536,2095.76479347454
0.551435908374435,2.78090749576614,-3.50604956195434,-2.23527709797405,0.286237599866276,0.613929672371852,102.107073557854,2051.10707355785
0.367467983471938,2.45195390009075,-4.09020526861041,-3.04567523717929,0.290607119890325,0.627460675430747,127.662236688687,2076.66223668869
0.384178711847314,2.72336090780648,-4.82633108332939,-3.2427311191959,0.301662185044289,0.635607961338286,130.595215825937,2079.59521582594
0.412965697279929,2.49538561665384,-3.7696529135578,-2.74595227475226,0.2753466286314,0.596010040249539,104.796994201413,2053.79699420141
0.270894748231973,2.37820945952664,-5.2196289059642,-4.05973380213874,0.329811353402869,0.624006081397847,143.444452339841,2092.44445233984
0.192411563546676,2.34485578405183,-7.14399455346082,-5.78988621766464,0.303447625763675,0.619208254389437,191.359715928131,2140.35971592813
0.290700856714337,2.33448313073818,-4.68678657271423,-3.71542458911884,0.299842440231886,0.62191945093594,139.300975912545,2088.30097591255
0.29153229322646,2.33371647994743,-4.67035105142506,-3.73432201787259,0.268178792791669,0.637117371594818,145.3354994348,2094.3354994348
0.293011679411851,2.40104662530015,-4.91876715327281,-3.80413106758889,0.29305480247552,0.579483527765021,139.932274586794,2088.93227458679
0.311408645433619,2.7074816283297,-5.88491751532427,-4.05221666226043,0.294935653565101,0.611760641352922,138.958357365213,2087.95835736521
0.234379508886714,2.40762335263747,-6.18297460782617,-4.85268063713084,0.283483706060914,0.618247635759601,167.31729852733,2116.31729852733
0.234681854478507,2.53917522662514,-6.86824599821938,-5.10611256586993,0.303711794576489,0.596028800801508,175.911708876896,2124.9117088769
0.192284291448655,2.16477553920665,-6.09287048338892,-5.33802412559417,0.29107725054373,0.600264158327493,188.675165609767,2137.67516560977
0.329810091595609,2.82028193463832,-6.02921984009509,-3.99022486611826,0.28539011126752,0.623995773086717,148.21292002757,2097.21292002757
0.271943405094741,2.19910238054532,-4.44582511426898,-3.80445357183429,0.238855328742261,0.588200897970068,139.291599387604,2088.2915993876
0.318625362046642,2.52447048564059,-5.00034836518879,-3.58565156750659,0.375851166338945,0.592637985751472,118.498128970936,2067.49812897094
0.283552072507549,2.48509721985172,-5.44495067299352,-4.09596952286676,0.286113101102701,0.611131707437849,148.78177570446,2097.78177570446
0.479220365233705,2.66894822607328,-3.71607988215707,-2.50749027689506,0.277187107142766,0.613090155096488,109.632484513667,2058.63248451367
0.217125218575024,2.19207628400606,-5.53275025632439,-4.7454559666278,0.302498154944275,0.600840469059709,172.606969688418,2121.60696968842
0.418926613362112,2.21123447413971,-2.91790837802269,-2.38109695790172,0.258069907618419,0.610255112151992,106.240382723478,2055.24038272348
0.30305770928063,2.57774573691805,-5.48144204941355,-4.00184996575393,0.251045865599216,0.604807598815568,152.890902667419,2101.89090266742
0.212333305749189,2.05529630657207,-4.97359904620725,-4.56848961545264,0.271298234409724,0.603274912453085,181.903380053787,2130.90338005379
0.747067644971167,3.07195428761312,-3.15798147888898,-1.7473636745489,0.30864444485753,0.590941837971962,82.2341195389887,2031.23411953899
0.331631864766449,2.78078994326942,-5.82934989829322,-3.82891342101568,0.363672151585721,0.61058918880409,130.161711629817,2079.16171162982
0.335917356234375,2.55158944864526,-4.84539470319546,-3.46457800731178,0.333364256298113,0.637644438026546,129.508415401528,2078.50841540153
0.290125735968343,2.37970624955464,-4.87978239440581,-3.8114270023782,0.289736656219632,0.578801755758524,145.394247138636,2094.39424713864
0.174379624865558,1.85398723960988,-4.92785307814247,-5.01195301033083,0.303998440531786,0.565949222445977,180.026248524562,2129.02624852456
0.633136287752066,2.71925652002434,-2.91973314621895,-1.84825030031236,0.299199287263004,0.612997059181406,87.1971000444883,2036.19710004449
0.514066855188831,2.70344258412972,-3.55430511222189,-2.36821096382803,0.261254986798829,0.623740741990901,97.3303455184359,2046.33034551844
0.882394383439049,3.43738936369802,-3.34760903384661,-1.60173471046235,0.346027779990688,0.620609095040637,76.5504532451456,2025.55045324515
0.309905444014357,2.54464966014401,-5.2235625558832,-3.79711622706779,0.308409682999992,0.597552604096276,143.14372520063,2092.14372520063
0.440740638740865,2.92004853496863,-4.83656525918055,-2.97925142617708,0.333409443161871,0.623246603885727,116.366807761285,2065.36680776129
0.379415212806938,2.85493559811116,-5.37053931566373,-3.51949151194533,0.242792526417496,0.609255460140331,138.734830779907,2087.73483077991
0.391900345139558,2.66099922575337,-4.51703919585635,-3.0929743853721,0.302020361067561,0.60895986828683,126.306206401202,2075.3062064012
0.320975583289115,2.52470204357028,-4.96464586456297,-3.61765792566574,0.31519892546768,0.619174490004458,143.220477793538,2092.22047779354
0.342062010491834,2.87371704452703,-6.0356378366389,-3.88256920855263,0.318009862468806,0.650224257319584,131.806192260767,2080.80619226077
0.273826511610576,2.54253507954651,-5.90198935879344,-4.31392816159864,0.328673945465403,0.607385816794278,149.296500193219,2098.29650019322
0.316953422974099,2.27905978893779,-4.09690600026871,-3.30118760685235,0.294072175409148,0.62076632790547,136.351981920534,2085.35198192053
0.555112214427139,2.6712126622809,-3.21348409460478,-2.09806884761525,0.30794257931535,0.59187355937341,91.8203636861774,2040.82036368618
0.177646039390348,2.12692624572684,-6.36633283563011,-5.71496600560444,0.271450165074331,0.614323504306081,194.377082563953,2143.37708256395
0.210963609694646,2.3970786143518,-6.80921450351038,-5.38647373752944,0.294787162920142,0.600618821476506,187.698419570268,2136.69841957027
0.455508964927833,2.60530418640729,-3.72528886713939,-2.5801938184271,0.279578861151291,0.59293265649754,109.664930927899,2058.6649309279
0.364050940129497,3.17277378320382,-6.91283304735093,-4.04858987445817,0.309006046150114,0.610266258814369,150.22228109025,2099.22228109025
0.17516216052093,2.02453363251035,-5.84991703826893,-5.47713363095178,0.301893147689823,0.611575835673109,181.355391497437,2130.35539149744
0.189066282282955,2.13783884768609,-6.04332364751825,-5.37329235937582,0.280383224318718,0.61686676587962,176.193961703506,2125.19396170351
0.177614891594325,2.13542200813908,-6.41841896238621,-5.70797657977456,0.303405655608088,0.593314130934889,205.093970266815,2154.09397026681
0.270928089169827,2.56219582740629,-6.05773978447021,-4.42158727652767,0.306966036746947,0.637644747848491,156.758789503158,2105.75878950316
0.341511118129684,2.76242209789975,-5.58618405218883,-3.7731770375424,0.271233160620986,0.607295131475634,139.271019885126,2088.27101988513
0.23884667988995,2.81736353016877,-8.30819300563681,-5.5767624099522,0.321087062912327,0.593528054080289,202.913927912181,2151.91392791218
0.165506835949548,2.17638950242148,-7.1547970195236,-6.25052593272117,0.324397362546585,0.63897747020433,207.302129126136,2156.30212912614
0.269665526182534,2.96204960486588,-8.1339075723636,-5.14011914698006,0.351961444109091,0.599191083053231,163.437206767077,2112.43720676708
0.38227038607243,2.61280752956617,-4.46461682311966,-3.11008124172153,0.307404947060971,0.610848480926262,127.128129650131,2076.12812965013
0.247781441349984,2.49950663209337,-6.30347189224545,-4.71828406221084,0.325488825854032,0.61058143737798,160.513957770396,2109.5139577704
0.716464818559355,3.40841201758939,-4.05367862479537,-2.08704115807037,0.291590652799924,0.591314761219649,92.8766122853492,2041.87661228535
0.346468431612741,2.69513569242489,-5.24128299854856,-3.56410394944438,0.325335096819615,0.616988754431544,134.01087745515,2083.01087745515
0.205426045158693,2.38496294884062,-6.92225791397153,-5.51685721518178,0.288061404066855,0.63306007100198,187.089815155929,2136.08981515593
0.205501091352117,2.17600231989097,-5.76029312668915,-4.98992839939002,0.304453021102004,0.614159817887716,166.450255943931,2115.45025594393
0.337272663649941,2.53355108561093,-4.75793163455322,-3.45202659031083,0.303912385283894,0.637213730314737,131.389035135066,2080.38903513507
0.279665886130672,2.32678734091195,-4.83964938013435,-3.86205960179545,0.297881700135061,0.599842255745694,145.097534973831,2094.09753497383
0.184712752083032,2.05397492180201,-5.70996443371589,-5.23823928048695,0.321677126580354,0.596107322964151,182.297326548717,2131.29732654872
0.440089996091093,2.84939506070115,-4.61215449343432,-2.93150315653086,0.305783632545984,0.627196714727157,114.518512205664,2063.51851220566
0.216561856071862,2.45616080891305,-6.96420647276705,-5.34940245930409,0.321404148711916,0.61598708957329,161.99635498312,2110.99635498312
0.27786686140232,2.21114291493922,-4.39882698283239,-3.71507640110967,0.263704846463657,0.593936158176374,139.295495491116,2088.29549549112
0.328501493942709,2.4084033898046,-4.41429262497805,-3.35571722458909,0.310024688634341,0.595072840458396,135.384755778859,2084.38475577886
0.282644149338013,2.70826290025048,-6.48756391566205,-4.44578569372492,0.345155329808674,0.607525723369708,139.245613741756,2088.24561374176
0.263003830016838,2.53841604097524,-6.12496403252746,-4.52555953325635,0.300256198804896,0.60287411468653,167.572941460856,2116.57294146086
0.230761672944,2.22812729955685,-5.37844001529152,-4.52038821179942,0.307379049399022,0.588333295592769,160.48514300763,2109.48514300763
0.280736347978676,2.80697516075862,-7.01646723860851,-4.67335610733504,0.325952284629647,0.63658470918585,156.65274986429,2105.65274986429
0.286616985728499,2.50894477639235,-5.49060610886936,-4.09297440035311,0.283850598373543,0.599963401369185,152.204159938067,2101.20415993807
0.300639547029597,2.66821586332219,-5.92019243943918,-4.11889026207811,0.318676068906792,0.634477697981448,145.33339464061,2094.33339464061
0.179491520227804,2.01811574372321,-5.67267906290842,-5.28753488804703,0.334223012164311,0.609083843513267,176.958384537774,2125.95838453777
0.303952918304679,2.54112724221342,-5.31112490804119,-3.8718488556605,0.308284133992558,0.596415021742796,146.547594440198,2095.5475944402
0.299368227404412,2.64306457982314,-5.83377737985424,-4.11437599631903,0.300027968221712,0.648709000563065,143.868714376429,2092.86871437643
0.235129819617482,2.30404384599553,-5.64434793182137,-4.62020911035722,0.279305229729108,0.590157721528361,171.441943280674,2120.44194328067
0.362600094232743,2.65236864483495,-4.85042581345,-3.42016525691855,0.237264356340825,0.63459143255612,140.892135295393,2089.89213529539
0.297249071095111,2.46203257756815,-5.09808524436679,-3.81708194125519,0.324281004804913,0.59651030661157,136.101452860799,2085.1014528608
0.340744974364399,2.85418920528417,-5.97690107884671,-3.87502413936016,0.313136244528357,0.614960386994402,132.757105461319,2081.75710546132
0.29974732807389,2.26873043483907,-4.29289713693149,-3.53878516244434,0.245619605093418,0.594062953475229,143.297885754673,2092.29788575467
0.423740280438418,2.21982326306533,-2.90721436380069,-2.35429175753058,0.265028809266384,0.625342330805505,97.3153225197631,2046.31532251976
0.495239434508812,2.77642900499381,-3.89132886167294,-2.49713306943697,0.305984787834959,0.606842508042035,97.4767488747852,2046.47674887479
0.580551292329567,3.04821307350823,-4.00119811301351,-2.34351754433037,0.28175701261422,0.59886631410172,89.9408295293938,2038.94082952939
0.389625521141279,2.63982615661287,-4.47139737967179,-3.11705550639699,0.270589826588869,0.609329950420606,120.435702145753,2069.43570214575
0.36338761359875,2.50570063448776,-4.31944804577534,-3.19149330756559,0.256203505312751,0.604410674685895,128.077034553801,2077.0770345538
0.402098197132625,2.87753917205506,-5.14814027130557,-3.30067853385612,0.277476245964935,0.640410548133395,128.751377886487,2077.75137788649
0.509574420691018,2.87213726619993,-4.04708916938373,-2.54519473360362,0.27297779388031,0.628360277521083,110.775740874424,2059.77574087442
0.239481248541111,2.67355360548821,-7.46184609960384,-5.24442800373602,0.337540567446804,0.606407544565772,173.607654609152,2122.60765460915
0.21011285469393,2.29161715600831,-6.24843872280143,-5.14865361301651,0.304647088995494,0.59091699048239,167.503191228567,2116.50319122857
0.388492583252967,2.94421028033109,-5.57821085168753,-3.45893529259474,0.330339467399795,0.634926996422916,130.661669599583,2079.66166959958
0.32183925395535,2.43740803098159,-4.61484874551517,-3.4340553513589,0.352630084035103,0.587525949065242,123.472009410491,2072.47200941049
0.57495374487946,2.87896851571372,-3.60396805320773,-2.14449321928345,0.35915906696899,0.597136965636527,88.7316012227193,2037.73160122272
0.34430148283119,2.64534977103667,-5.08121207726168,-3.48431058552974,0.357307738742309,0.599945058547995,118.387932849914,2067.38793284991
0.302818674151019,2.34924565633733,-4.55632002327195,-3.55652888188315,0.322435423940567,0.60633115914782,136.285062745562,2085.28506274556
0.700179679508513,2.84282415059492,-2.88556258761986,-1.67629721270122,0.353770378370846,0.604917107200089,80.3296644012393,2029.32966440124
0.376357756412849,2.95593529125352,-5.80402110571445,-3.66446963371444,0.262558892849237,0.611588012349769,147.190377936914,2096.19037793691
0.220642953804147,2.5806993787703,-7.5461386470301,-5.48800501767321,0.360129568716183,0.617213539675764,176.496015055208,2125.49601505521
0.249354153213896,2.36168021204734,-5.59197967237343,-4.42924633348777,0.306347964036309,0.602875231215546,162.7225280835,2111.7225280835
0.331491084021932,2.69196169340658,-5.46519809133764,-3.74141014944597,0.318973105429864,0.620298912473137,136.003998808728,2085.00399880873
0.232426705560519,2.26583229334319,-5.52216662149017,-4.57932296904122,0.294971247449364,0.60559510069685,159.837335170097,2108.8373351701
0.275399045112635,2.38240326374226,-5.1523828893165,-4.06015205942636,0.265213816057855,0.603453391242052,172.294959336857,2121.29495933686
0.521098522828005,2.95482359640563,-4.18873883891111,-2.55782740003443,0.277359677804309,0.620234510191903,113.256714827897,2062.2567148279
0.412559926523206,2.79228424032328,-4.72467802705943,-3.11669766001367,0.267397668700017,0.629333224185252,123.529699346635,2072.52969934663
0.310166873711525,2.56818670949365,-5.31615682865777,-3.84838335118613,0.29162470119252,0.611058461109318,143.514224391389,2092.51422439139
