"A","alpha_0","lambda_0","m","mu0","sigma","tau","tc","nu"
0.196013224102772,2.42626421804342,-7.50811339732789,-5.91771864626781,0.271313316114727,0.500848291166356,193.057466288844,2117.05746628884,0.411657763178826
0.691560127866093,2.96290921053375,-3.1735602719586,-1.9096551425161,0.232536903514828,0.520945340186641,122.409011408194,2046.40901140819,0.74358388022127
1.10371751885949,3.37778910258975,-2.58432502579189,-1.24640316019647,0.283784158964748,0.497398218930795,231.556596967534,2155.55659696753,2.63265327423312
0.617728220242055,2.44076515680546,-2.41098526644177,-1.76477782075812,0.210820085266844,0.511271608746004,127.562520732918,2051.56252073292,0.729715950826066
0.932480935566503,3.05483051703187,-2.5019250077536,-1.41369906398717,0.224313253753132,0.53842755414853,170.275609224264,2094.27560922426,1.25813820343218
0.743844018144053,3.23443060155587,-3.51604001010298,-1.93199185833295,0.242140434634878,0.50489608630409,204.170688496366,2128.17068849637,1.44852771267426
0.371581472603049,2.53503337792819,-4.32367778067018,-3.15033621012894,0.260804501717459,0.501528746556721,212.129841715266,2136.12984171527,0.893886293455176
0.894745468664355,2.93978399943601,-2.41474538458433,-1.38522751527912,0.257577115977868,0.521929223059987,155.045601839049,2079.04560183905,1.41540308122395
0.707702862149914,3.13478633425628,-3.4714022957273,-1.99326160056346,0.221500061367083,0.521873331865515,116.144071357767,2040.14407135777,0.553096670925955
0.626161953052251,2.81596697567287,-3.16598204722705,-2.00693577033468,0.241657394697406,0.51998245809009,139.46581110876,2063.46581110876,0.846155423595532
1.0933994135975,3.38283357688615,-2.61651023098155,-1.30979190949847,0.237142145347944,0.545256059487535,210.053803258765,2134.05380325877,2.28690046752035
0.782092456746352,3.06635623582119,-3.00557193841115,-1.72702695427711,0.233327099371349,0.510044831715893,118.890079383542,2042.89007938354,0.65415702767459
0.667355626639243,2.78465423625923,-2.90486020720563,-1.89527561814341,0.191058957532947,0.508960451685909,170.275322892297,2094.2753228923,0.982242049985736
1.05918980618972,3.07399305248305,-2.23034465387913,-1.20862036938799,0.242485482707247,0.474330279298208,138.520295195195,2062.5202951952,1.28984609088282
0.44325187784573,2.9420253218327,-4.88182533843505,-3.11423597202164,0.204447454804869,0.516082427613311,181.867023670512,2105.86702367051,0.640685345681718
0.585567713853149,3.5294809207594,-5.31844365531766,-2.75297681107781,0.260748875345989,0.531082421944746,147.16795930026,2071.16795930026,0.621387193875443
0.426609896238998,2.5591781750405,-3.83804559466577,-2.73182539058363,0.267610625320211,0.484156151009972,182.917155484787,2106.91715548479,0.989735198279717
0.494957748718335,2.67423564985725,-3.6121953487373,-2.44797638381786,0.253502335105145,0.521733134672744,183.56571464924,2107.56571464924,1.06110192396872
1.04394542505306,3.34855110270428,-2.68519651945696,-1.37729789568034,0.226498156461979,0.503915871853738,153.598256542361,2077.59825654236,1.02004540591519
